"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Peru",102,11,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","October 22, 2019","Restricted"
"Philippines",12,27,5,2,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Restricted"
"Poland",16,38,17,7,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 14, 2020","Not yet restricted"
"Portugal",29,6,3,3,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 28, 2019","Not yet restricted"
"Qatar",73,55,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Romania",11,18,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","August 5, 2019","Not yet restricted"
"Russia",41,2,2,2,"Imported cases only",3,"Level 2: Exercise Increased Caution","February 10, 2020","Restricted"
"Rwanda",80,13,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 11, 2019","Restricted"
"Saint Lucia",60,2,2,2,"Imported cases only",4,"Level 1: Exercise Normal Precautions","April 15, 2019","Not yet restricted"
"Saudi Arabia",56,53,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","September 17, 2019","Restricted"
"Senegal",92,41,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","April 25, 2019","Not yet restricted"
"Singapore",18,16,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 20, 2018","Restricted"
"Slovakia",42,17,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","July 26, 2019","Not yet restricted"
"Slovenia",19,15,3,3,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 15, 2020","Not yet restricted"
"Somalia",46,2,2,2,"Imported cases only",3,"Level 4: Do Not Travel","October 28, 2019","Not yet restricted"
"South Africa",99,43,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","December 23, 2019","Not yet restricted"
"South Korea",39,36,19,13,"Local transmission",2,"Level 3: Reconsider Travel","February 29, 2020","Restricted"
"Spain",4,12,16,5,"Local transmission",2,"Level 2: Exercise Increased Caution","October 21, 2019","Restricted"
"Sri Lanka",65,42,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","June 24, 2019","Restricted"
"Sweden",5,4,12,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","March 29, 2019","Not yet restricted"
"Switzerland",17,28,7,12,"Local transmission",2,"Level 1: Exercise Normal Precautions","October 8, 2019","Not yet restricted"
"Thailand",58,51,3,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","February 7, 2020","Restricted"
"Trinidad and Tobago",75,20,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Tunisia",15,24,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","January 2, 2019","Not yet restricted"
"Turkey",74,2,2,2,"Imported cases only",3,"Level 2: Exercise Increased Caution","September 5, 2019","Restricted"
"Ukraine",51,37,9,3,"Local transmission",2,"Level 2: Exercise Increased Caution","February 19, 2020","Restricted"
"United Arab Emirates",83,2,2,2,"Local transmission",4,"Level 1: Exercise Normal Precautions","May 17, 2019","Restricted"
"United Kingdom",13,26,18,12,"Local transmission",2,"Level 2: Exercise Increased Caution","April 22, 2019","Restricted"
"United States of America",93,59,23,18,"Local transmission",2,"Do not travel","18 Mar 2020","Restricted"
"Uruguay",98,13,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","August 2, 2019","Not yet restricted"
"Uzbekistan",53,7,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","December 13, 2018","Not yet restricted"
"Venezuela",68,46,2,2,"Imported cases only",2,"Level 4: Do Not Travel","December 2, 2019","Not yet restricted"
